beta,day,prop_infected
0.1,64,5.958973672410318e-05
0.1,65,5.701694565725602e-05
0.1,66,5.455520115712713e-05
0.1,67,5.219971310428209e-05
0.1,68,4.994589776462391e-05
0.1,69,4.778936891759996e-05
0.1,70,4.572592936404635e-05
0.1,71,4.37515627975712e-05
0.1,72,4.1862426024048335e-05
0.1,73,4.0054841514436353e-05
0.1,74,3.8325290276755564e-05
0.1,75,3.667040503364774e-05
0.1,76,3.508696369251251e-05
0.1,77,3.357188309575956e-05
0.1,78,3.212221303923937e-05
0.1,79,3.07351305474171e-05
0.1,80,2.940793439433574e-05
0.1,81,2.813803985987648e-05
0.1,82,2.6922973711266775e-05
0.1,83,2.576036940021131e-05
0.1,84,2.4647962466427913e-05
0.1,85,2.358358613876058e-05
0.1,86,2.256516712541582e-05
0.1,87,2.1590721585226878e-05
0.1,88,2.065835127219386e-05
0.1,89,1.9766239845877114e-05
0.1,90,1.8912649340536505e-05
0.1,91,1.8095916786211534e-05
0.1,92,1.731445097522692e-05
0.1,93,1.6566729367885556e-05
0.1,94,1.585129513137672e-05
0.1,95,1.5166754306181918e-05
0.1,96,1.451177309450473e-05
0.1,97,1.3885075265484592e-05
0.1,98,1.3285439672178304e-05
0.1,99,1.2711697875507285e-05
0.12,0,0.001
0.12,1,0.0009770228571428573
0.12,2,0.0009545596083195782
0.12,3,0.000932599409138245
0.12,4,0.0009111316137805605
0.12,5,0.0008901457728257347
0.12,6,0.0008696316310195392
0.12,7,0.0008495791249940614
0.12,8,0.0008299783809434082
0.12,9,0.0008108197122603384
0.12,10,0.0007920936171385413
0.12,11,0.0007737907761450295
0.12,12,0.0007559020497668732
0.12,13,0.0007384184759362717
0.12,14,0.0007213312675377399
0.12,15,0.000704631809900968
0.12,16,0.00068831165828272
0.12,17,0.0006723625353409325
0.12,18,0.0006567763286039926
0.12,19,0.0006415450879379979
0.12,20,0.0006266610230146257
0.12,21,0.0006121165007820811
0.12,22,0.0005979040429414333
0.12,23,0.0005840163234305046
0.12,24,0.0005704461659173318
0.12,25,0.0005571865413050867
0.12,26,0.0005442305652502112
0.12,27,0.000531571495695402
0.12,28,0.0005192027304189611
0.12,29,0.0005071178046019159
0.12,30,0.0004953103884142107
0.12,31,0.0004837742846211658
0.12,32,0.0004725034262113068
0.12,33,0.000461491874046577
0.12,34,0.0004507338145358559
0.12,35,0.00044022355733262835
0.12,36,0.0004299555330575683
0.12,37,0.0004199242910467296
0.12,38,0.0004101244971259648
0.12,39,0.000400550931412128
0.12,40,0.00039119848614155425
0.12,41,0.0003820621635262504
0.12,42,0.0003731370736381744
0.12,43,0.00036441843232192975
0.12,44,0.00035590155913615013
0.12,45,0.00034758187532380326
0.12,46,0.0003394549018115994
0.12,47,0.00033151625723864734
0.12,48,0.0003237616560144626
0.12,49,0.00031618690640639535
0.12,50,0.0003087879086565121
0.12,51,0.0003015606531279312
0.12,52,0.0002945012184805847
0.12,53,0.000287605769876348
0.12,54,0.0002808705572134552
0.12,55,0.00027429191339009085
0.12,56,0.00026786625259702843
0.12,57,0.00026159006863916246
0.12,58,0.00025545993328576305
0.12,59,0.0002494724946492625
0.12,60,0.00024362447559236693
0.12,61,0.00023791267216327028
