beta,total_infected
0.02,0.001162584379834237
0.04,0.0013882201625060266
0.06,0.0017221339040090428
0.08,0.002264468004068657
0.1,0.0032747744954256365
0.12,0.005551624339066632
0.14,0.011935403894379196
0.16,0.03310812540037059
0.18,0.1030201999553894
0.2,0.2686067288758562
0.22,0.4764817668189622
0.24,0.6289251402185019
0.26,0.7227758749911909
0.28,0.7834298497082876
0.3,0.8262724013543904
0.32,0.8585644362293329
0.34,0.88386781465188
0.36,0.9041461566478618
0.38,0.9206190896239203
0.4,0.9341175304394512
0.42,0.9452443092435642
0.44,0.9544549926209525
0.46,0.9621031864862258
0.48,0.9684684161096566
0.5,0.9737745770103836
0.52,0.978202810846924
0.54,0.981900837529512
0.56,0.9849899060065381
0.58,0.9875700774367172
0.6,0.989724304350505
0.62,0.9915216203305479
0.64,0.9930196607823041
0.66,0.994266673438054
0.68,0.9953031349654414
0.7000000000000001,0.9961630603960911
0.72,0.996875070831512
0.74,0.9974632693793828
0.76,0.9979479638017381
0.78,0.9983462657771671
0.8,0.9986725901773427
0.8200000000000001,0.998939072806323
0.84,0.9991559212852157
0.86,0.9993317107344777
0.88,0.9994736336201366
0.9,0.9995877115396267
0.92,0.9996789750952644
0.9400000000000001,0.9997516165790885
0.96,0.9998091198174822
0.98,0.9998543712307645
1.0,0.9998897547473502
