day,alpha,prop_infected
33,0.52,0.13766729315000206
34,0.52,0.12214416320582346
35,0.52,0.10820504661261261
36,0.52,0.09573286777921403
37,0.52,0.0846057792975471
38,0.52,0.07470263117077514
39,0.52,0.06590647760649862
40,0.52,0.058106718230882246
41,0.52,0.0512002943248466
42,0.52,0.04509223749841546
43,0.52,0.03969578143226077
44,0.52,0.03493218578022111
45,0.52,0.030730377483380006
46,0.52,0.027026483401540388
47,0.52,0.023763305713376537
48,0.52,0.02088977544118465
49,0.52,0.0183604079299499
50,0.52,0.016134775878463493
51,0.52,0.01417700966891815
52,0.52,0.012455330612858624
53,0.52,0.010941619849714656
54,0.52,0.00961102365404762
55,0.52,0.008441594577800025
56,0.52,0.007413966991052054
57,0.52,0.006511065055383237
58,0.52,0.005717840870360851
59,0.52,0.005021040404816482
60,0.52,0.004408994808699448
61,0.52,0.003871434760917247
62,0.52,0.0033993256166572287
63,0.52,0.002984721254887367
64,0.52,0.002620634679358945
65,0.52,0.002300923584918706
66,0.52,0.0020201892587429684
67,0.52,0.001773687338889444
68,0.52,0.0015572490975705123
69,0.52,0.001367212052168763
70,0.52,0.0012003588324320934
71,0.52,0.0010538633472533458
72,0.52,0.0009252433990929213
73,0.52,0.000812318988828691
74,0.52,0.000713175639160279
75,0.52,0.0006261321412889695
76,0.52,0.0005497121981168821
77,0.52,0.0004826194983453877
78,0.52,0.00042371581027513303
79,0.52,0.0003720017324622235
80,0.52,0.0003265997812733737
81,0.52,0.0002867395333709464
82,0.52,0.00025174457476586065
83,0.52,0.00022102103777662805
84,0.52,0.00019404753345680643
85,0.52,0.00017036631018982885
86,0.52,0.0001495754895492084
87,0.52,0.0001313222484969768
88,0.52,0.00011529683282396211
89,0.52,0.00010122730067178026
90,0.52,8.887490724024447e-05
91,0.52,7.803005257240672e-05
92,0.52,6.85087237973843e-05
93,0.52,6.0149371553185554e-05
94,0.52,5.281016764472733e-05
95,0.52,4.6366597436972984e-05
96,0.52,4.070934614627878e-05
97,0.52,3.574244316869101e-05
98,0.52,3.138163295500978e-05
99,0.52,2.755294478197752e-05
100,0.52,2.419143714128354e-05
1,0.54,0.001
2,0.54,0.001480170857142857
3,0.54,0.002183556163522025
4,0.54,0.0032137561686423387
5,0.54,0.0047213968930430675
6,0.54,0.006924351035789511
7,0.54,0.010135347736498712
8,0.54,0.014798136268502899
9,0.54,0.021531542517145594
10,0.54,0.031175931205181376
11,0.54,0.044826035237768104
12,0.54,0.06381430132741825
13,0.54,0.08957835344234993
14,0.54,0.12331496094298688
15,0.54,0.16533234043571954
16,0.54,0.2141519708592638
17,0.54,0.26576324926052414
18,0.54,0.31384251237957467
19,0.54,0.3515665847951912
20,0.54,0.37433514974417637
21,0.54,0.38139803989132076
22,0.54,0.3752076149127964
23,0.54,0.35952711350845945
24,0.54,0.33792351335157633
25,0.54,0.31316300909915906
26,0.54,0.28718434105914403
27,0.54,0.2612701682042921
28,0.54,0.2362320815595157
29,0.54,0.21255671034528523
30,0.54,0.19051042119805056
31,0.54,0.17021202239488023
32,0.54,0.1516828692769498
33,0.54,0.13488139167198826
34,0.54,0.11972689683533222
35,0.54,0.10611594557594228
36,0.54,0.09393355062714062
37,0.54,0.0830607468151046
38,0.54,0.07337961206016168
39,0.54,0.06477649740291755
40,0.54,0.0571440024567401
41,0.54,0.05038207755336165
42,0.54,0.04439852430093092
43,0.54,0.03910908834405587
44,0.54,0.03443728236837337
45,0.54,0.030314037353807458
46,0.54,0.02667725124950592
47,0.54,0.023471283455745555
48,0.54,0.02064642851056151
49,0.54,0.01815839158913886
50,0.54,0.015967780680568
51,0.54,0.014039624777601055
52,0.54,0.012342923497123032
53,0.54,0.010850230802868755
54,0.54,0.009537273606764962
55,0.54,0.008382604746533545
56,0.54,0.007367289002980089
57,0.54,0.006474620304728521
58,0.54,0.005689867978729646
59,0.54,0.005000049774104381
60,0.54,0.004393729365450231
61,0.54,0.0038608360937562106
62,0.54,0.003392504802570814
63,0.54,0.0029809337554005
64,0.54,0.002619258764223713
65,0.54,0.0023014418091928004
66,0.54,0.002022172579673618
67,0.54,0.0017767815124704774
68,0.54,0.0015611630416698938
69,0.54,0.0013717079043835522
70,0.54,0.0012052434669382424
71,0.54,0.0010589811464578732
72,0.54,0.0009304701033969272
73,0.54,0.0008175564717531916
74,0.54,0.000718347475906201
75,0.54,0.0006311798568848011
76,0.54,0.0005545920969961597
77,0.54,0.0004872999907954811
78,0.54,0.0004281751629766802
79,0.54,0.0003762261805306743
80,0.54,0.00033058194802703056
81,0.54,0.0002904771116644834
82,0.54,0.00025523923030259713
83,0.54,0.00022427750048472465
84,0.54,0.00019707284790425631
85,0.54,0.00017316922022529368
86,0.54,0.0001521659359814554
87,0.54,0.00013371096174406199
88,0.54,0.00011749500514312723
89,0.54,0.00010324632488196845
90,0.54,9.07261708229647e-05
91,0.54,7.972477772827658e-05
92,0.54,7.005784548394765e-05
93,0.54,6.156344676821698e-05
94,0.54,5.409931027734957e-05
95,0.54,4.754043391174424e-05
96,0.54,4.177698785475159e-05
97,0.54,3.671247233763993e-05
98,0.54,3.226209915683475e-05
99,0.54,2.8351369764748134e-05
100,0.54,2.491482605560121e-05
1,0.56,0.001
2,0.56,0.0014921348571428571
3,0.56,0.0022161954966139043
4,0.56,0.0032813793050463424
5,0.56,0.004847138226059564
6,0.56,0.007145044328795717
7,0.56,0.010508680962576449
8,0.56,0.015412725336465531
9,0.56,0.02252017336571725
10,0.56,0.03273087787136399
11,0.56,0.047212039844291294
12,0.56,0.06736808531007425
13,0.56,0.09467275566508417
14,0.56,0.13025505090268985
15,0.56,0.1741570587471041
16,0.56,0.2243722327141884
17,0.56,0.2761957483173572
18,0.56,0.32280184876745166
19,0.56,0.35750672334131484
20,0.56,0.3765473475506306
21,0.56,0.38018209978850126
22,0.56,0.37146781347237456
23,0.56,0.35426193347668755
24,0.56,0.33194256947054096
25,0.56,0.30702497007296303
26,0.56,0.2812362432959762
27,0.56,0.2557079079980782
28,0.56,0.23115197867611478
29,0.56,0.2079925901802563
30,0.56,0.186458463243582
31,0.56,0.16664685501512938
32,0.56,0.14856778793058747
33,0.56,0.13217473675661634
34,0.56,0.11738595140400604
35,0.56,0.10409924140986199
36,0.56,0.09220215852035259
37,0.56,0.08157892371885961
38,0.56,0.07211504635407007
39,0.56,0.06370030854591033
40,0.56,0.05623059607389793
41,0.56,0.04960892103458728
42,0.56,0.04374588445268254
43,0.56,0.038559757207400965
44,0.56,0.03397630720006811
45,0.56,0.02992846414864079
46,0.56,0.0263558868772441
47,0.56,0.0232044787156488
48,0.56,0.02042588265509999
49,0.56,0.017976977793222212
50,0.56,0.015819391304122427
51,0.56,0.013919034934034664
52,0.56,0.01224567129493831
53,0.56,0.010772512603129256
54,0.56,0.009475852688880019
55,0.56,0.008334731867939
56,0.56,0.007330633454303908
57,0.56,0.006447210187595105
58,0.56,0.005670038559958539
59,0.56,0.004986398892440639
60,0.56,0.0043850789820576355
61,0.56,0.0038561991839003266
62,0.56,0.0033910568825615663
63,0.56,0.002981988425910754
64,0.56,0.002622246728888003
65,0.56,0.0023058928964771177
66,0.56,0.002027700357067511
67,0.56,0.0017830701358077623
68,0.56,0.0015679560295571234
69,0.56,0.001378798569003254
70,0.56,0.0012124667685519004
71,0.56,0.0010662067703660822
72,0.56,0.0009375965854713258
73,0.56,0.0008245062224326939
74,0.56,0.0007250625731923472
75,0.56,0.0006376184967722472
76,0.56,0.0005607256052835521
77,0.56,0.0004931103136469879
78,0.56,0.0004336527652158132
79,0.56,0.00038136829068289365
80,0.56,0.00033539109779347036
81,0.56,0.0002949599249872004
82,0.56,0.0002594054236300746
83,0.56,0.00022813906140263648
84,0.56,0.0002006433640805089
85,0.56,0.00017646333473426455
86,0.56,0.00015519890861061315
