alpha,total_ord_inf,total_mis_inf,total
0.5,0.36713826498862173,0.49268242433291026,0.859820689321532
0.52,0.36580779064415325,0.49285574065888116,0.8586635313030344
0.54,0.3644237939857281,0.49302947404613096,0.8574532680318591
0.56,0.36298234152607756,0.4932037266985825,0.85618606822466
0.5800000000000001,0.3614790581445411,0.4933786167337568,0.8548576748782979
0.6000000000000001,0.3599090637311494,0.4935542795610841,0.8534633432922335
0.6200000000000001,0.3582668992634905,0.4937308690126776,0.8519977682761681
0.6400000000000001,0.35654644005234115,0.49390855807217665,0.8504549981245177
0.6600000000000001,0.3547407931093276,0.49408753902666486,0.8488283321359924
0.6800000000000002,0.35284217445216576,0.4942680228570644,0.8471101973092301
0.7000000000000002,0.3508417605135543,0.49445023768785096,0.8452919982014053
0.7200000000000002,0.34872950542380193,0.4946344261399205,0.8433639315637225
0.7400000000000002,0.34649391242312816,0.49482084147189737,0.8413147538950255
0.7600000000000002,0.3441217424041247,0.4950097424539938,0.8391314848581185
0.7800000000000002,0.34159763448326974,0.49520138699287075,0.8367990214761405
0.8000000000000003,0.3389036004828282,0.4953960246142685,0.8342996250970967
0.8200000000000003,0.33601833314980173,0.4955938880140659,0.8316122211638677
0.8400000000000003,0.3329162280337832,0.4957951840168328,0.828711412050616
0.8600000000000003,0.3295659406297383,0.4960000844582204,0.8255660250879587
0.8800000000000003,0.3259281302883209,0.4962087177896999,0.8221368480780208
0.9000000000000004,0.32195162232942204,0.49642116272497,0.818372785054392
0.9200000000000004,0.31756599520140455,0.49663744635749685,0.8142034415589015
0.9400000000000004,0.31266413603659426,0.49685755191638814,0.8095216879529824
0.9600000000000004,0.3070457316479565,0.49708144956730477,0.8041271812152613
0.9800000000000004,0.30008718743580814,0.4973091992877608,0.7973963867235689
1.0000000000000004,0.0,0.49754264141166354,0.49754264141166354
