day,variable_0,variable_1,prop_infected
1,0.5,0.1,0.001
2,0.5,0.1,0.0009997
3,0.5,0.1,0.000999350194973
4,0.5,0.1,0.0009989506637010474
5,0.5,0.1,0.000998501494818503
6,0.5,0.1,0.00099800278677165
7,0.5,0.1,0.0009974546477742106
8,0.5,0.1,0.0009968571957588003
9,0.5,0.1,0.0009962105583243615
10,0.5,0.1,0.0009955148726796107
11,0.5,0.1,0.000994770285582546
12,0.5,0.1,0.0009939769532760568
13,0.5,0.1,0.0009931350414196852
14,0.5,0.1,0.00099224472501759
15,0.5,0.1,0.0009913061883427637
16,0.5,0.1,0.0009903196248575595
17,0.5,0.1,0.0009892852371305883
18,0.5,0.1,0.0009882032367500414
19,0.5,0.1,0.0009870738442335058
20,0.5,0.1,0.0009858972889343347
21,0.5,0.1,0.0009846738089446402
22,0.5,0.1,0.0009834036509949794
23,0.5,0.1,0.0009820870703508022
24,0.5,0.1,0.0009807243307057374
25,0.5,0.1,0.0009793157040717886
26,0.5,0.1,0.0009778614706665199
27,0.5,0.1,0.0009763619187973074
28,0.5,0.1,0.0009748173447427395
29,0.5,0.1,0.0009732280526312453
30,0.5,0.1,0.0009715943543170362
31,0.5,0.1,0.0009699165692534438
32,0.5,0.1,0.0009681950243637421
33,0.5,0.1,0.0009664300539095394
34,0.5,0.1,0.0009646219993568292
35,0.5,0.1,0.0009627712092397894
36,0.5,0.1,0.0009608780390224202
37,0.5,0.1,0.000958942850958111
38,0.5,0.1,0.0009569660139472304
39,0.5,0.1,0.0009549479033928291
40,0.5,0.1,0.0009528889010545528
41,0.5,0.1,0.0009507893949008545
42,0.5,0.1,0.0009486497789596035
43,0.5,0.1,0.0009464704531671857
44,0.5,0.1,0.0009442518232161878
45,0.5,0.1,0.0009419943004017625
46,0.5,0.1,0.0009396983014667693
47,0.5,0.1,0.0009373642484457847
48,0.5,0.1,0.0009349925685080788
49,0.5,0.1,0.0009325836937996517
50,0.5,0.1,0.0009301380612844246
51,0.5,0.1,0.0009276561125846798
52,0.5,0.1,0.0009251382938208434
53,0.5,0.1,0.0009225850554507045
54,0.5,0.1,0.0009199968521081632
55,0.5,0.1,0.0009173741424415983
56,0.5,0.1,0.0009147173889519493
57,0.5,0.1,0.0009120270578306
58,0.5,0.1,0.0009093036187971548
59,0.5,0.1,0.0009065475449371971
60,0.5,0.1,0.0009037593125401165
61,0.5,0.1,0.0009009394009370926
62,0.5,0.1,0.0008980882923393203
63,0.5,0.1,0.0008952064716765613
64,0.5,0.1,0.0008922944264361056
65,0.5,0.1,0.0008893526465022245
66,0.5,0.1,0.0008863816239961952
67,0.5,0.1,0.0008833818531169779
68,0.5,0.1,0.0008803538299826213
