alpha,beta,total_ord_inf,total_mis_inf,total
0.5,0.1,0.004315916867975571,0.013811618261122179,0.01812753512909775
0.55,0.1,0.005246075360991779,0.018344488815118614,0.02359056417611039
0.6000000000000001,0.1,0.006596883579826483,0.02559608142830367,0.03219296500813015
0.6500000000000001,0.1,0.008557546936284653,0.03749185454666357,0.04604940148294822
0.7000000000000002,0.1,0.011295553340145849,0.05692605544523841,0.06822160878538426
0.7500000000000002,0.1,0.014714009960356867,0.08694593830481798,0.10165994826517484
0.8000000000000003,0.1,0.01802207064954929,0.1278838080455152,0.1459058786950645
0.8500000000000003,0.1,0.019589720526433117,0.17457811482582908,0.1941678353522622
0.9000000000000004,0.1,0.017674284243691475,0.21924362867303104,0.2369179129167225
0.9500000000000004,0.1,0.011276689100904529,0.2574988347606356,0.26877552386154013
1.0000000000000004,0.1,0.0,0.28942563796794535,0.28942563796794535
0.5,0.11,0.011984871980127432,0.03603464631326219,0.04801951829338962
0.55,0.11,0.01523841009660071,0.050004094788723134,0.06524250488532385
0.6000000000000001,0.11,0.01964372333728826,0.07101192406303039,0.09065564740031865
0.6500000000000001,0.11,0.02516282586808652,0.10100412766604382,0.12616695353413032
0.7000000000000002,0.11,0.031084722646339602,0.13961026563150186,0.17069498827784146
0.7500000000000002,0.11,0.035856680660524734,0.18256872393322435,0.2184254045937491
0.8000000000000003,0.11,0.0376754089367652,0.22375949805818796,0.26143490699495314
0.8500000000000003,0.11,0.035374232469668476,0.25938603739937033,0.2947602698690388
0.9000000000000004,0.11,0.02855172371393088,0.2891870624984432,0.3177387862123741
0.9500000000000004,0.11,0.01698634042893763,0.31465507964563716,0.3316414200745748
1.0000000000000004,0.11,0.0,0.33737183658825076,0.33737183658825076
0.5,0.12,0.03312812543946913,0.09379085816297596,0.12691898360244508
0.55,0.12,0.040420640073995436,0.12293461254251367,0.1633552526165091
0.6000000000000001,0.12,0.048164993092657926,0.15788216580705716,0.2060471588997151
0.6500000000000001,0.12,0.0550482074839286,0.19552061433097592,0.25056882181490453
0.7000000000000002,0.12,0.05953952912140671,0.23174881361970345,0.29128834274111015
0.7500000000000002,0.12,0.060527297868580326,0.2637243960857277,0.324251693954308
0.8000000000000003,0.12,0.0575614551039209,0.29086143675697307,0.348422891860894
0.8500000000000003,0.12,0.05054847695803543,0.3140681182537715,0.36461659521180695
0.9000000000000004,0.12,0.03927612770771653,0.3346052686705674,0.37388139637828394
0.9500000000000004,0.12,0.02300898834495354,0.3534907632522755,0.37649975159722904
1.0000000000000004,0.12,0.0,0.37141838686089085,0.37141838686089085
0.5,0.13,0.07135114297516595,0.1857814267081676,0.25713256968333353
0.55,0.13,0.07876708279628175,0.21678786345923276,0.2955549462555145
0.6000000000000001,0.13,0.08425723715071373,0.2465907523541362,0.33084798950484995
0.6500000000000001,0.13,0.08700541468297579,0.27351163711927395,0.36051705180224974
0.7000000000000002,0.13,0.08659411543383301,0.2969785901804237,0.3835727056142567
0.7500000000000002,0.13,0.08291154771642417,0.3173546041381088,0.40026615185453296
0.8000000000000003,0.13,0.07590189718874948,0.33541914288472857,0.41132104007347803
0.8500000000000003,0.13,0.06530724856610497,0.3519420203633619,0.4172492689294669
0.9000000000000004,0.13,0.05042602262719832,0.36750423335948035,0.41793025598667866
0.9500000000000004,0.13,0.029745979884067807,0.38250405825269446,0.41225003813676225
1.0000000000000004,0.13,0.0,0.3972594343427477,0.3972594343427477
0.5,0.13999999999999999,0.11270125503735048,0.2686561774281144,0.38135743246546483
0.55,0.13999999999999999,0.1155710968478419,0.2896217414000174,0.4051928382478593
0.6000000000000001,0.13999999999999999,0.11617473957646852,0.30851877721291926,0.42469351678938777
0.6500000000000001,0.13999999999999999,0.11437386671596994,0.32541414433115745,0.4397880110471274
0.7000000000000002,0.13999999999999999,0.11010264371983025,0.34065090031872475,0.450753544038555
0.7500000000000002,0.13999999999999999,0.10324712079870146,0.35466580270244363,0.4579129235011451
0.8000000000000003,0.13999999999999999,0.0935186539068469,0.367855928922981,0.4613745828298279
0.8500000000000003,0.13999999999999999,0.08030717548390041,0.3805230013121267,0.4608301767960271
0.9000000000000004,0.13999999999999999,0.0624297172559545,0.3928803815517162,0.4553100988076707
0.9500000000000004,0.13999999999999999,0.03751431276156327,0.4051008387920101,0.44261515155357334
1.0000000000000004,0.13999999999999999,0.0,0.41741554856094887,0.41741554856094887
0.5,0.14999999999999997,0.14653392048200706,0.3246873841291638,0.47122130461117084
0.55,0.14999999999999997,0.14537728763824784,0.337823331962436,0.48320061960068383
0.6000000000000001,0.14999999999999997,0.14253372530323682,0.3500169875677308,0.49255071287096763
0.6500000000000001,0.14999999999999997,0.13790320385520666,0.3614408977912726,0.49934410164647924
