day,variable_0,variable_1,prop_infected
92,0.6000000000000001,0.1,0.001925605064404162
93,0.6000000000000001,0.1,0.001932307736319177
94,0.6000000000000001,0.1,0.0019388140944606534
95,0.6000000000000001,0.1,0.0019451213522439642
96,0.6000000000000001,0.1,0.0019512267990978707
97,0.6000000000000001,0.1,0.0019571278029157442
98,0.6000000000000001,0.1,0.001962821812447918
99,0.6000000000000001,0.1,0.0019683063596314665
100,0.6000000000000001,0.1,0.001973579061853784
1,0.6500000000000001,0.1,0.001
2,0.6500000000000001,0.1,0.0009998000000000001
3,0.6500000000000001,0.1,0.0010025429053888
4,0.6500000000000001,0.1,0.0010078033557751119
5,0.6500000000000001,0.1,0.0010152237078019806
6,0.6500000000000001,0.1,0.0010245032684904672
7,0.6500000000000001,0.1,0.0010353892343277105
8,0.6500000000000001,0.1,0.0010476690662527283
9,0.6500000000000001,0.1,0.0010611640732219893
10,0.6500000000000001,0.1,0.0010757240129089301
11,0.6500000000000001,0.1,0.001091222548335628
12,0.6500000000000001,0.1,0.0011075534247243087
13,0.6500000000000001,0.1,0.0011246272523320155
14,0.6500000000000001,0.1,0.0011423687991209141
15,0.6500000000000001,0.1,0.0011607147123500181
16,0.6500000000000001,0.1,0.0011796116010001035
17,0.6500000000000001,0.1,0.0011990144217409813
18,0.6500000000000001,0.1,0.0012188851202387906
19,0.6500000000000001,0.1,0.0012391914872501757
20,0.6500000000000001,0.1,0.0012599061953874864
21,0.6500000000000001,0.1,0.0012810059878560639
22,0.6500000000000001,0.1,0.0013024709950227179
23,0.6500000000000001,0.1,0.0013242841585096154
24,0.6500000000000001,0.1,0.0013464307457345143
25,0.6500000000000001,0.1,0.0013688979405330301
26,0.6500000000000001,0.1,0.0013916744977825412
27,0.6500000000000001,0.1,0.0014147504518687954
28,0.6500000000000001,0.1,0.001438116870452747
29,0.6500000000000001,0.1,0.0014617656463550303
30,0.6500000000000001,0.1,0.0014856893215194997
31,0.6500000000000001,0.1,0.0015098809379796752
32,0.6500000000000001,0.1,0.0015343339115615764
33,0.6500000000000001,0.1,0.0015590419247375577
34,0.6500000000000001,0.1,0.0015839988356187704
35,0.6500000000000001,0.1,0.00160919860055594
36,0.6500000000000001,0.1,0.0016346352082237188
37,0.6500000000000001,0.1,0.0016603026234050652
38,0.6500000000000001,0.1,0.0016861947389791739
39,0.6500000000000001,0.1,0.001712305334857984
40,0.6500000000000001,0.1,0.0017386280428194878
41,0.6500000000000001,0.1,0.0017651563163570238
42,0.6500000000000001,0.1,0.0017918834048075533
43,0.6500000000000001,0.1,0.0018188023311429286
44,0.6500000000000001,0.1,0.0018459058729099476
45,0.6500000000000001,0.1,0.001873186545890609
46,0.6500000000000001,0.1,0.0019006365901259902
47,0.6500000000000001,0.1,0.001928247958007714
48,0.6500000000000001,0.1,0.001956012304191861
49,0.6500000000000001,0.1,0.0019839209771329368
50,0.6500000000000001,0.1,0.0020119650120713943
51,0.6500000000000001,0.1,0.002040135125338334
52,0.6500000000000001,0.1,0.0020684217098662183
53,0.6500000000000001,0.1,0.002096814831815551
54,0.6500000000000001,0.1,0.002125304228245093
55,0.6500000000000001,0.1,0.002153879305767845
56,0.6500000000000001,0.1,0.0021825291401472045
57,0.6500000000000001,0.1,0.0022112424767977467
58,0.6500000000000001,0.1,0.002240007732163326
59,0.6500000000000001,0.1,0.002268812995951882
60,0.6500000000000001,0.1,0.002297646034211757
61,0.6500000000000001,0.1,0.0023264942932385694
62,0.6500000000000001,0.1,0.0023553449043050142
63,0.6500000000000001,0.1,0.002384184689208429
64,0.6500000000000001,0.1,0.0024130001666327235
65,0.6500000000000001,0.1,0.0024417775593224057
66,0.6500000000000001,0.1,0.002470502802067044
67,0.6500000000000001,0.1,0.0024991615504946227
68,0.6500000000000001,0.1,0.0025277391906719676
69,0.6500000000000001,0.1,0.002556220849509781
70,0.6500000000000001,0.1,0.002584591405968846
71,0.6500000000000001,0.1,0.00261283550306274
72,0.6500000000000001,0.1,0.002640937560650893
73,0.6500000000000001,0.1,0.0026688817890141445
74,0.6500000000000001,0.1,0.0026966522032030385
75,0.6500000000000001,0.1,0.002724232638147075
76,0.6500000000000001,0.1,0.002751606764510907
77,0.6500000000000001,0.1,0.002778758105281191
78,0.6500000000000001,0.1,0.002805670053065361
79,0.6500000000000001,0.1,0.0028323258880811127
80,0.6500000000000001,0.1,0.00285870879681282
81,0.6500000000000001,0.1,0.002884801891308508
82,0.6500000000000001,0.1,0.00291058822908838
83,0.6500000000000001,0.1,0.002936050833633242
84,0.6500000000000001,0.1,0.0029611727154185514
85,0.6500000000000001,0.1,0.0029859368934572043
86,0.6500000000000001,0.1,0.0030103264173116026
87,0.6500000000000001,0.1,0.0030343243895330375
88,0.6500000000000001,0.1,0.0030579139884839937
89,0.6500000000000001,0.1,0.0030810784914966248
90,0.6500000000000001,0.1,0.0031038012983184236
91,0.6500000000000001,0.1,0.003126065954793979
92,0.6500000000000001,0.1,0.00314785617672975
93,0.6500000000000001,0.1,0.003169155873886941
94,0.6500000000000001,0.1,0.003189949174045917
95,0.6500000000000001,0.1,0.003210220447084101
96,0.6500000000000001,0.1,0.003229954329008016
97,0.6500000000000001,0.1,0.0032491357458790467
98,0.6500000000000001,0.1,0.003267749937571613
99,0.6500000000000001,0.1,0.003285782481301819
100,0.6500000000000001,0.1,0.003303219314864208
1,0.7000000000000002,0.1,0.001
2,0.7000000000000002,0.1,0.0009998000000000001
3,0.7000000000000002,0.1,0.0010035405071884
4,0.7000000000000002,0.1,0.0010107339910154767
5,0.7000000000000002,0.1,0.0010209661329287658
6,0.7000000000000002,0.1,0.0010338850579865015
7,0.7000000000000002,0.1,0.0010491921425184222
8,0.7000000000000002,0.1,0.0010666341673417634
9,0.7000000000000002,0.1,0.0010859966195177122
10,0.7000000000000002,0.1,0.0011070979743039193
11,0.7000000000000002,0.1,0.0011297848134968697
12,0.7000000000000002,0.1,0.0011539276573485574
13,0.7000000000000002,0.1,0.0011794174051898837
14,0.7000000000000002,0.1,0.0012061622952338326
15,0.7000000000000002,0.1,0.0012340853071393832
16,0.7000000000000002,0.1,0.001263121942114292
17,0.7000000000000002,0.1,0.001293218324897741
18,0.7000000000000002,0.1,0.0013243295801294156
19,0.7000000000000002,0.1,0.0013564184425829942
20,0.7000000000000002,0.1,0.0013894540666932148
21,0.7000000000000002,0.1,0.0014234110058854777
22,0.7000000000000002,0.1,0.0014582683365526466
23,0.7000000000000002,0.1,0.001494008905224184
