recovery,day,prop_infected
2,95,5.703754687632147e-13
2,96,4.558736583793842e-13
2,97,3.64357872639268e-13
2,98,2.912137100137608e-13
2,99,2.3275310146498954e-13
3,0,0.001
3,1,0.0009663666666666667
3,2,0.0009337776484174445
3,3,0.0009022065296703319
3,4,0.0008716271327808614
3,5,0.0008420135516474555
3,6,0.000813340181933141
3,7,0.0007855817481045169
3,8,0.0007587133274824847
3,9,0.0007327103714925391
3,10,0.0007075487242954522
3,11,0.0006832046389720478
3,12,0.0006596547914285216
3,13,0.0006368762921814652
3,14,0.0006148466961744606
3,15,0.0005935440107708673
3,16,0.0005729467020602558
3,17,0.000553033699608898
3,18,0.0005337843997778181
3,19,0.0005151786677251718
3,20,0.0004971968382031689
3,21,0.0004798197152534019
3,22,0.00046302857089830653
3,23,0.00044680514292055656
3,24,0.00043113163181651064
3,25,0.0004159906970043644
3,26,0.00040136545236243743
3,27,0.0003872394611680312
3,28,0.00037359673050253516
3,29,0.0003604217051839259
3,30,0.00034769926128350273
3,31,0.00033541469927961904
3,32,0.00032355373689730356
3,33,0.00031210250167901054
3,34,0.0003010475233282858
3,35,0.0002903757258648828
3,36,0.0002800744196267972
3,37,0.0002701312931518094
3,38,0.00026053440496841805
3,39,0.0002512721753235096
3,40,0.00024233337787173392
3,41,0.0002337071313493299
3,42,0.00022538289125306938
3,43,0.00021735044154304683
3,44,0.000209599886386235
3,45,0.00020212164195604403
3,46,0.00019490642830155555
3,47,0.00018794526129865057
3,48,0.0001812294446939003
3,49,0.0001747505622508412
3,50,0.00016850047000709816
3,51,0.0001624712886497529
3,52,0.00015665539601536808
3,53,0.00015104541972016977
3,54,0.00014563422992505546
3,55,0.00014041493223932643
3,56,0.00013538086076633976
3,57,0.00013052557129362996
3,58,0.0001258428346294607
3,59,0.0001213266300872301
3,60,0.0001169711391186623
3,61,0.0001127707390962746
3,62,0.00010871999724520528
3,63,0.00010481366472412347
3,64,0.00010104667085461397
3,65,9.741411749813443e-05
3,66,9.391127357937857e-05
3,67,9.053356975464289e-05
3,68,8.727659322358532e-05
3,69,8.413608268257897e-05
3,70,8.110792341770167e-05
3,71,7.818814253526018e-05
3,72,7.537290432762487e-05
3,73,7.265850577204528e-05
3,74,7.004137216002777e-05
3,75,6.751805285478132e-05
3,76,6.508521717417666e-05
3,77,6.273965039661471e-05
3,78,6.047824988716223e-05
3,79,5.829802134128532e-05
3,80,5.619607514349252e-05
3,81,5.416962283818945e-05
3,82,5.2215973710044446e-05
3,83,5.0332531471168634e-05
3,84,4.851679105242485e-05
3,85,4.67663354961953e-05
3,86,4.5078832947959065e-05
3,87,4.345203374405576e-05
3,88,4.188376759304064e-05
3,89,4.037194084806929e-05
3,90,3.891453386778538e-05
3,91,3.75095984632234e-05
3,92,3.615525542827841e-05
3,93,3.484969215133767e-05
3,94,3.359116030571256e-05
3,95,3.2377973616555e-05
3,96,3.120850570198877e-05
3,97,3.0081187986233817e-05
3,98,2.8994507682549294e-05
3,99,2.7947005843870115e-05
4,0,0.001
4,1,0.0010497
4,2,0.001101775711473
4,3,0.001156330950905447
4,4,0.0012134730569023475
4,5,0.001273312899140581
4,6,0.0013359648726244005
4,7,0.0014015468753337042
4,8,0.00147018026719879
4,9,0.0015419898081724865
4,10,0.001617103573002689
4,11,0.001695652840136542
4,12,0.0017777719520132677
4,13,0.001863598143827719
4,14,0.001953271337673273
4,15,0.0020469338988032995
4,16,0.0021447303505881567
4,17,0.0022468070445930775
4,18,0.002353311782065542
4,19,0.0024643933830035413
4,20,0.0025802011988839114
4,21,0.0027008845650687576
4,22,0.002826592188884689
4,23,0.0029574714693916936
4,24,0.003093667744934275
4,25,0.0032353234647059274
4,26,0.003382577280768883
4,27,0.003535563057264527
4,28,0.0036944087939368925
4,29,0.003859235461583279
4,30,0.004030155747653826
4,31,0.004207272710957075
4,32,0.004390678345302298
4,33,0.004580452052931989
4,34,0.004776659029778756
4,35,0.004979348565927602
4,36,0.005188552266182899
4,37,0.005404282197332097
4,38,0.0056265289705649405
4,39,0.005855259769542919
4,40,0.006090416336809398
4,41,0.006331912933571186
4,42,0.006579634290345394
4,43,0.006833433568522644
4,44,0.007093130355512215
4,45,0.007358508718761654
4,46,0.007629315346528909
4,47,0.00790525780576681
4,48,0.008186002949786475
4,49,0.008471175510418876
4,50,0.00876035691110601
4,51,0.009053084338632944
4,52,0.009348850111963698
4,53,0.009647101386770475
4,54,0.009947240233651834
4,55,0.010248624126630947
4,56,0.01055056687622923
