day,lambda,value,group
86,1.0,0.005727075642317335,misinformed
87,1.0,0.005210538780506773,misinformed
88,1.0,0.004739645558941344,misinformed
89,1.0,0.004310530013263323,misinformed
90,1.0,0.003919623518941934,misinformed
91,1.0,0.0035636375281154404,misinformed
92,1.0,0.0032395461705634165,misinformed
93,1.0,0.002944569020833068,misinformed
94,1.0,0.0026761542583925656,misinformed
95,1.0,0.002431962386864766,misinformed
96,1.0,0.0022098506295172675,misinformed
97,1.0,0.002007858079208528,misinformed
98,1.0,0.0018241916501826657,misinformed
99,1.0,0.001657212855006128,misinformed
100,1.0,0.0015054254113208813,misinformed
1,1.2,0.001,misinformed
2,1.2,0.001036782857142857,misinformed
3,1.2,0.0011017879431432214,misinformed
4,1.2,0.0011971817538848342,misinformed
5,1.2,0.0013259524180644713,misinformed
6,1.2,0.0014919920234906913,misinformed
7,1.2,0.0017001996868375247,misinformed
8,1.2,0.001956606547443847,misinformed
9,1.2,0.0022685237203716522,misinformed
10,1.2,0.0026447138441002367,misinformed
11,1.2,0.003095586092845549,misinformed
12,1.2,0.0036334132421682293,misinformed
13,1.2,0.004272567380698023,misinformed
14,1.2,0.005029767895701352,misinformed
15,1.2,0.0059243311106332635,misinformed
16,1.2,0.006978405047511507,misinformed
17,1.2,0.008217164820167027,misinformed
18,1.2,0.009668933747256435,misinformed
19,1.2,0.011365182134198478,misinformed
20,1.2,0.013340339828425595,misinformed
21,1.2,0.015631340684017298,misinformed
22,1.2,0.018276798525583754,misinformed
23,1.2,0.021315698116850613,misinformed
24,1.2,0.02478547616097311,misinformed
25,1.2,0.028719374276059008,misinformed
26,1.2,0.03314297878600651,misinformed
27,1.2,0.03806993364926149,misinformed
28,1.2,0.04349693509106005,misinformed
29,1.2,0.04939829635586074,misinformed
30,1.2,0.055720602341368074,misinformed
31,1.2,0.06237822830885313,misinformed
32,1.2,0.0692507161003719,misinformed
33,1.2,0.07618309759641831,misinformed
34,1.2,0.0829901275006545,misinformed
35,1.2,0.08946495810974853,misinformed
36,1.2,0.09539205385792465,misinformed
37,1.2,0.10056321764239785,misinformed
38,1.2,0.10479472093477779,misinformed
39,1.2,0.10794299263844274,misinformed
40,1.2,0.10991636594473682,misinformed
41,1.2,0.11068106442739861,misinformed
42,1.2,0.11026075046864359,misinformed
43,1.2,0.10873021153056552,misinformed
44,1.2,0.10620475219920032,misinformed
45,1.2,0.10282735310061679,misinformed
46,1.2,0.09875561656608109,misinformed
47,1.2,0.09415008116744121,misinformed
48,1.2,0.0891648685122935,misinformed
49,1.2,0.0839410226972943,misinformed
50,1.2,0.07860243828984398,misinformed
51,1.2,0.07325398808425801,misinformed
52,1.2,0.06798134007921441,misinformed
53,1.2,0.06285194912115231,misinformed
54,1.2,0.057916773543488224,misinformed
55,1.2,0.05321236125003419,misinformed
56,1.2,0.0487630466651426,misinformed
57,1.2,0.044583085410112376,misinformed
58,1.2,0.04067862173434682,misinformed
