total_ord_inf,total_mis_inf,lambda,diff,total_inf,total_extra
0.283460609888488,0.28389368866845627,1.0,0.0004330787799682878,0.5673542985569442,0.0
0.31696991347469594,0.350941381086124,1.2,0.03397146761142805,0.6679112945608199,0.10055699600387569
0.3343405719626032,0.3945374277235192,1.4,0.06019685576091599,0.7288779996861223,0.16152370112917813
0.34493558231061416,0.42463766022953797,1.5999999999999999,0.07970207791892381,0.7695732425401521,0.20221894398320794
0.35195780666307236,0.44591088992675393,1.7999999999999998,0.09395308326368157,0.7978686965898263,0.2305143980328821
0.35682370222597853,0.4611038028526409,1.9999999999999998,0.10428010062666238,0.8179275050786194,0.25057320652167525
0.3602917732337743,0.47202087279731614,2.1999999999999997,0.11172909956354182,0.8323126460310905,0.26495834747414626
0.3628145327157797,0.4798959655340681,2.3999999999999995,0.11708143281828842,0.8427104982498478,0.2753561996929036
0.36467956557113784,0.48558889231101804,2.5999999999999996,0.1209093267398802,0.8502684578821559,0.2829141593252117
0.36607742874296834,0.4897066680249685,2.8,0.12362923928200015,0.8557840967679369,0.2884297982109927
0.3671382649886216,0.4926824243329101,2.9999999999999996,0.12554415934428848,0.8598206893215317,0.29246639076458747
0.36795302620043074,0.4948279720317622,3.1999999999999993,0.12687494583133146,0.862780998232193,0.2954266996752488
0.3685864175588773,0.4963693813970954,3.3999999999999995,0.12778296383821813,0.8649557989559726,0.29760150039902844
0.36908510895996965,0.4974714244457672,3.5999999999999996,0.12838631548579754,0.8665565334057368,0.2992022348487926
0.3694831155949404,0.49825460770445845,3.7999999999999994,0.12877149210951805,0.8677377232993988,0.3003834247424546
0.36980542210916145,0.4988072058823042,3.999999999999999,0.12900178377314275,0.8686126279914657,0.30125832943452147
